"state","date","coal","conventional_hydroelectric","natural_gas","nuclear","other","other_gases","other_renewables_(total)","petroleum_coke","petroleum_liquids","renewables"
"ND","2001-05-01",95.0749536412405,4.4830864087758,0.0105668332875867,0,0,0.236293292337457,0.0284789043482519,0,0.166620920010361,4.51156531312405
"ND","2001-06-01",94.3100648844038,5.18794364499306,0.00940676734434029,0,0,0.264771522549938,0.0283986293760415,0,0.199414551332863,5.2163422743691
"ND","2001-07-01",95.1029236476623,4.47750977302185,0.00922614928802401,0,0,0.216293677260369,0.0186755118652744,0,0.175371240902198,4.49618528488712
"ND","2001-08-01",95.3134557089989,4.313240477792,0.0104956239276114,0,0,0.220656309802452,0.0198211276200499,0,0.122330751858984,4.33306160541205
"ND","2001-09-01",95.5900511554066,4.0435339773588,0.0108519329411073,0,0,0.229014696370699,0.0322531552751635,0,0.0942950826476295,4.07578713263397
"ND","2001-10-01",95.9797538046197,3.61627301443734,0.00890770927977744,0,0,0.235626040660267,0.0292498338369615,0,0.130189597165978,3.6455228482743
"ND","2001-11-01",96.1195145191221,3.41724559895913,0.00665053341308599,0,0,0.223337003890361,0.0302296973322091,0,0.203022647283116,3.44747529629134
"ND","2001-12-01",95.8319058198411,3.82965963174005,0.00623551905791816,0,0,0.202864555418,0.0221746267621472,0,0.10715984718074,3.8518342585022
"ND","2002-01-01",95.7615577044715,3.9005649926776,0.0332641931972944,0,0,0.230356318629658,0.00633942868213962,0,0.0679173623417992,3.90690442135974
"ND","2002-02-01",95.4988095041254,4.09018006250103,0.0393525025215364,0,0,0.26447196547562,0,0,0.107185965376412,4.09018006250103
"ND","2002-03-01",95.958695794658,3.56280637132866,0.0434899272476163,0,0,0.29244350745358,0.000289691438785121,0,0.142274707873343,3.56309606276744
"ND","2002-04-01",95.8382534437809,3.75041346711291,0.0407242876806362,0,0,0.281868978051565,0,0,0.0887398233739628,3.75041346711291
"ND","2002-05-01",95.2226627702048,4.54814966970409,0.0101841958541692,0,0,0.0677939478258468,0,0,0.151209416411055,4.54814966970409
"ND","2002-06-01",92.8181493167729,6.94944536511321,0.00631624209508131,0,0,0.0446995594421139,0.00194345910617886,0,0.179446057470515,6.95138882421939
"ND","2002-07-01",93.4390447477676,6.43557659790328,0.000827463141913526,0,0,0.00388547910115917,0.00636786852689975,0,0.114297843559099,6.44194446643018
"ND","2002-08-01",93.2498370380692,6.66318816905647,-0.000259405006442509,0,0,0,0,0,0.0872341978808093,6.66318816905647
"ND","2002-09-01",93.9697679734598,5.75652726018606,0.0148922294988645,0,0,0.104085474992063,0,0,0.154727061863202,5.75652726018606
"ND","2002-10-01",95.2631671736497,4.30229167110476,0.0365821139907487,0,0,0.250161424087339,0,0,0.147797617167442,4.30229167110476
"ND","2002-11-01",94.3346233379663,5.2695905556643,0.0418458694153716,0,0,0.289312426437112,0,0,0.0646278105169459,5.2695905556643
"ND","2002-12-01",93.8701418906568,5.6416390101923,0.0393054764573932,0,0,0.272215078440136,0,0,0.176698544253353,5.6416390101923
"ND","2003-01-01",94.5564111194443,5.10679887924997,0.030454415011684,0,0,0.15995458020277,0.0368966951103094,0,0.109484310980918,5.14369557436028
"ND","2003-02-01",93.1811177316622,6.41759257795831,0.0299110176858276,0,0,0.159946895102021,0.0201909247522562,0,0.191240852839374,6.43778350271056
"ND","2003-03-01",94.7707238733261,4.89830795280051,0.030059351453727,0,0,0.159931164785855,0.0192337808252869,0,0.12174387680851,4.9175417336258
"ND","2003-04-01",92.9802879178435,6.60685617825009,0.0299812025455873,0,0,0.159959322076308,0.0323939967891964,0,0.190521382495356,6.63925017503929
"ND","2003-05-01",92.6851026274122,6.9708492910751,0.02996255360736,0,0,0.159921163580584,0.0301438701193561,0,0.124020494205351,7.00099316119446
"ND","2003-06-01",92.4355149552082,7.195880275175,0.0304779803868167,0,0,0.159957422302979,0.0185445828820194,0,0.159624784045006,7.21442485805702
"ND","2003-07-01",93.216082160017,6.40293840447632,0.0300865302604024,0,0,0.159948391105302,0.00549254098939905,0,0.18545197315162,6.40843094546572
"ND","2003-08-01",93.6200638861854,6.06036791524305,0.0301997438512635,0,0,0.159921370848736,0.0192523367051805,0,0.110194747166372,6.07962025194823
"ND","2003-09-01",93.9411006279062,5.71771682313897,0.0305934494473926,0,0,0.159949154787198,0.0284777198867154,0,0.122162224833503,5.74619454302569
"ND","2003-10-01",95.6210479973295,3.44792830799052,0.0299953071858113,0,0,0.159934655384561,0.531610377086166,0,0.209483355023488,3.97953868507669
"ND","2003-11-01",95.390194608095,3.40071222858235,0.0303234903980593,0,0,0.159945208589764,0.728697374553363,0,0.290127089781432,4.12940960313572
"ND","2003-12-01",94.4833756963614,4.40621607254091,0.029848381979048,0,0,0.159929221635131,0.740952360529717,0,0.179678266953829,5.14716843307062
"ND","2004-01-01",93.4051608703087,5.5800378738303,0.0381038206199875,0,0,0.17182728232243,0.635424496196984,0,0.169445656721548,6.21546237002729
"ND","2004-02-01",92.3294198983622,6.56736041564669,0.0322256743784457,0,0,0.166239162741613,0.798675741619776,0,0.106079107251296,7.36603615726646
"ND","2004-03-01",93.5318322956529,5.20247844727967,0.00904808453363654,0,0,0.223660930433042,0.90340273519924,0,0.129577506901462,6.10588118247891
"ND","2004-04-01",92.67248322297,6.04080916693953,0.0102187909956691,0,0,0.245453791711107,0.845215183622078,0,0.185819843761648,6.88602435056161
"ND","2004-05-01",93.325016538555,5.40842312300203,0.0241773796823629,0,0,0.215272706182084,0.872811147887424,0,0.154299104691085,6.28123427088946
"ND","2004-06-01",93.7353857959742,5.43679406922846,0.0124801693511588,0,0,0.21308016377297,0.531589671616156,0,0.070670130057069,5.96838374084462
"ND","2004-07-01",93.8830261126963,5.35144369755695,0.010720163032189,0,0,0.202954999946023,0.461396306258223,0,0.0904587205102651,5.81284000381517
"ND","2004-08-01",93.8504731769374,5.27276186557173,0.0173540908839226,0,0,0.196463016051773,0.553851383847759,0,0.109096466707402,5.82661324941949
"ND","2004-09-01",93.7785755362195,5.11092365521393,0.00530615989451508,0,0,0.238728518946916,0.79005583420135,0,0.0764102955237676,5.90097948941528
"ND","2004-10-01",94.6618077744253,3.96649455631162,0.122140474212487,0,0,0.130231748107603,0.957988776867643,0,0.161336670075385,4.92448333317927
"ND","2004-11-01",95.0479972552163,3.755904144322,0.0348959623710863,0,0,0.181106915110599,0.81595098076237,0,0.164144742217668,4.57185512508437
"ND","2004-12-01",94.5841597136957,4.31975268091316,0.0476703304155261,0,0,0.169201098061302,0.747220722766422,0,0.131995454147853,5.06697340367958
